Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
293,1,9,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
211,0,1,1,1,0,1,0,0,3.09,91,0,1,23,5,1,1,1,2,2,5
212,1,1,2,0,1,0,0,1,0.89,20,0,1,23,5,1,1,1,2,2,5
213,0,1,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
221,0,2,1,1,0,1,0,0,3.09,26,0,1,23,5,1,1,1,2,2,5
222,1,2,2,0,1,0,1,0,0.36,48,0,1,23,5,1,1,1,2,2,5
223,0,2,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
231,0,3,1,1,0,0,0,1,0.49,91,0,1,23,5,1,1,1,2,2,5
232,1,3,2,0,1,0,0,1,0.36,48,0,1,23,5,1,1,1,2,2,5
233,0,3,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
241,0,4,1,1,0,0,0,1,1.68,26,0,1,23,5,1,1,1,2,2,5
242,1,4,2,0,1,0,1,0,0.36,57,0,1,23,5,1,1,1,2,2,5
243,0,4,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
251,0,5,1,1,0,1,1,0,3.09,26,0,1,23,5,1,1,1,2,2,5
252,1,5,2,0,1,0,1,0,1.06,20,0,1,23,5,1,1,1,2,2,5
253,0,5,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
261,0,6,1,1,0,0,0,1,1.68,91,0,1,23,5,1,1,1,2,2,5
262,1,6,2,0,1,1,0,0,1.06,20,0,1,23,5,1,1,1,2,2,5
263,0,6,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
271,0,7,1,1,0,1,0,0,1.68,167,0,1,23,5,1,1,1,2,2,5
272,1,7,2,0,1,1,0,0,0.89,57,0,1,23,5,1,1,1,2,2,5
273,0,7,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
281,0,8,1,1,0,0,1,0,0.49,26,0,1,23,5,1,1,1,2,2,5
282,1,8,2,0,1,0,0,1,0.89,57,0,1,23,5,1,1,1,2,2,5
283,0,8,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
291,0,9,1,1,0,0,1,0,0.49,167,0,1,23,5,1,1,1,2,2,5
292,1,9,2,0,1,1,0,0,1.06,48,0,1,23,5,1,1,1,2,2,5
293,0,9,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
111,1,1,1,1,0,0,1,0,1.68,91,1,4,48,3,3,2,1,4,3,6
112,0,1,2,0,1,0,1,0,0.89,48,1,4,48,3,3,2,1,4,3,6
