Case,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
33,1,6,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
34,0,7,1,1,0,1,0,0,1.68,167,1,1,21,3,2,6,2,1,1,4
34,1,7,2,0,1,1,0,0,0.89,57,1,1,21,3,2,6,2,1,1,4
34,0,7,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
35,0,8,1,1,0,0,1,0,0.49,26,1,1,21,3,2,6,2,1,1,4
35,1,8,2,0,1,0,0,1,0.89,57,1,1,21,3,2,6,2,1,1,4
35,0,8,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
36,0,9,1,1,0,0,1,0,0.49,167,1,1,21,3,2,6,2,1,1,4
36,0,9,2,0,1,1,0,0,1.06,48,1,1,21,3,2,6,2,1,1,4
36,1,9,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
37,0,1,1,1,0,1,0,0,3.09,91,0,1,23,5,1,1,1,2,2,5
37,1,1,2,0,1,0,0,1,0.89,20,0,1,23,5,1,1,1,2,2,5
37,0,1,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
38,0,2,1,1,0,1,0,0,3.09,26,0,1,23,5,1,1,1,2,2,5
38,1,2,2,0,1,0,1,0,0.36,48,0,1,23,5,1,1,1,2,2,5
38,0,2,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
39,0,3,1,1,0,0,0,1,0.49,91,0,1,23,5,1,1,1,2,2,5
39,1,3,2,0,1,0,0,1,0.36,48,0,1,23,5,1,1,1,2,2,5
39,0,3,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
40,0,4,1,1,0,0,0,1,1.68,26,0,1,23,5,1,1,1,2,2,5
40,1,4,2,0,1,0,1,0,0.36,57,0,1,23,5,1,1,1,2,2,5
40,0,4,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
41,0,5,1,1,0,1,1,0,3.09,26,0,1,23,5,1,1,1,2,2,5
41,1,5,2,0,1,0,1,0,1.06,20,0,1,23,5,1,1,1,2,2,5
41,0,5,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
42,0,6,1,1,0,0,0,1,1.68,91,0,1,23,5,1,1,1,2,2,5
42,1,6,2,0,1,1,0,0,1.06,20,0,1,23,5,1,1,1,2,2,5
42,0,6,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
43,0,7,1,1,0,1,0,0,1.68,167,0,1,23,5,1,1,1,2,2,5
43,1,7,2,0,1,1,0,0,0.89,57,0,1,23,5,1,1,1,2,2,5
43,0,7,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
44,0,8,1,1,0,0,1,0,0.49,26,0,1,23,5,1,1,1,2,2,5
44,1,8,2,0,1,0,0,1,0.89,57,0,1,23,5,1,1,1,2,2,5
44,0,8,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
45,0,9,1,1,0,0,1,0,0.49,167,0,1,23,5,1,1,1,2,2,5
45,1,9,2,0,1,1,0,0,1.06,48,0,1,23,5,1,1,1,2,2,5
45,0,9,3,0,0,0,0,0,0,0,0,1,23,5,1,1,1,2,2,5
46,1,1,1,1,0,0,1,0,1.68,91,1,4,48,3,3,2,1,4,3,6
46,0,1,2,0,1,0,1,0,0.89,48,1,4,48,3,3,2,1,4,3,6
46,0,1,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
47,1,2,1,1,0,1,0,0,1.68,26,1,4,48,3,3,2,1,4,3,6
47,0,2,2,0,1,0,0,1,1.06,48,1,4,48,3,3,2,1,4,3,6
47,0,2,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
48,1,3,1,1,0,0,1,0,1.68,167,1,4,48,3,3,2,1,4,3,6
48,0,3,2,0,1,0,0,1,0.36,20,1,4,48,3,3,2,1,4,3,6
48,0,3,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
49,1,4,1,1,0,0,0,1,3.09,26,1,4,48,3,3,2,1,4,3,6
49,0,4,2,0,1,1,0,0,0.89,48,1,4,48,3,3,2,1,4,3,6
49,0,4,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
50,0,5,1,1,0,1,0,0,0.49,91,1,4,48,3,3,2,1,4,3,6
50,1,5,2,0,1,0,1,0,1.06,57,1,4,48,3,3,2,1,4,3,6
50,0,5,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
51,0,6,1,1,0,0,0,1,0.49,167,1,4,48,3,3,2,1,4,3,6
51,1,6,2,0,1,0,1,0,0.89,20,1,4,48,3,3,2,1,4,3,6
51,0,6,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
52,0,7,1,1,0,0,0,1,3.09,167,1,4,48,3,3,2,1,4,3,6
